3,1822,97
4,1910,82
5,1799,85
6,1824,93
7,1978,96
1,1913,89
2,1935,90
3,1998,87
4,1807,74
5,1813,78
6,1825,102
7,2032,100
1,1972,97
2,1922,83
3,2018,109
4,1644,51
5,1755,80
6,1860,92
7,1892,83
1,1855,87
2,1974,81
3,1960,79
4,1710,75
5,1708,83
6,1602,81
7,1924,107
1,1413,61
2,1201,56
3,847,13
4,775,11
5,689,16
6,673,12
7,687,15
1,675,8
2,648,10
3,663,12
4,623,9
5,646,9
6,608,9
7,651,10
1,650,11
2,657,9
3,641,10
4,670,10
5,818,35
6,570,27
7,532,53
1,561,10
2,569,8
3,583,9
4,567,7
5,577,9
6,585,5
7,592,9
1,580,5
2,594,9
3,555,2
4,557,2
5,534,9
6,528,8
7,548,2
1,545,5
2,572,26
3,875,16
4,1705,58
5,2061,80
6,1651,78
7,1793,75
1,2236,125
2,2153,128
3,2211,105
4,2030,124
5,1983,107
6,1758,98
7,1776,79
1,2015,125
2,2121,111
3,2190,107
4,1863,97
5,1974,98
6,1496,94
7,1860,100
1,2025,132
2,2025,90
3,2032,86
4,1787,78
5,1695,80
6,1660,77
7,1753,92
1,1950,95
2,2004,109
3,2014,114
4,1818,112
5,1766,75
6,1695,78
7,1810,85
1,1848,78
2,1913,76
3,1925,73
4,1343,65
5,1540,61
6,1425,63
7,1594,74
1,1919,115
2,1881,91
3,1836,72
4,1519,55
5,1607,78
6,1335,71
7,1494,75
1,1752,77
2,1857,95
3,1545,65
4,1813,78
5,1750,75
6,1488,79
7,1685,87
1,1856,93
2,1874,95
3,1824,93
